gene_symbol,full_name,role,category,subcategory,evidence,VC_target
ACO1,Aconitase 1 (IRP1),Cytosolic iron sensor; dual function aconitase/IRE-binding protein,Iron_Metabolism,Iron_Sensing,,
ACSL4,Acyl-CoA Synthetase Long Chain Family Member 4,Core executor of ferro-aging; catalyzes PUFA esterification; direct target of Vitamin C,Core_FerroAging,Master_Regulator,Cell Metabolism 2026 - Identified as master regulator of ferro-aging axis in primates,True
ACTA2,"Actin Alpha 2, Smooth Muscle (alpha-SMA)",VSMC contractile marker; decreases in dedifferentiated/senescent VSMCs,Vascular_Relevant,VSMC,,
AIFM2,Apoptosis Inducing Factor Mitochondria Associated 2 (FSP1),Ferroptosis suppressor protein 1; CoQ10-mediated lipid radical trapping; parallel to GPX4,Ferroptosis,Suppressor,,
AKR1B10,Aldo-Keto Reductase Family 1 Member B10,Nrf2 target; detoxification of reactive carbonyls,NRF2_Pathway,Target,,
AKR1C1,Aldo-Keto Reductase Family 1 Member C1,Nrf2 target; detoxification of lipid peroxidation products,NRF2_Pathway,Target,,
ALAS1,5'-Aminolevulinate Synthase 1,Rate-limiting enzyme in heme biosynthesis (ubiquitous),Iron_Metabolism,Heme_Biosynthesis,,
ALAS2,5'-Aminolevulinate Synthase 2,Erythroid-specific heme biosynthesis,Iron_Metabolism,Heme_Biosynthesis,,
ALOX12,Arachidonate 12-Lipoxygenase,Ferroptosis driver; lipid peroxidation in p53-mediated ferroptosis,Ferroptosis,Driver,,
ALOX12B,"Arachidonate 12-Lipoxygenase, 12R Type",Lipid peroxidation enzyme,Lipid_Peroxidation,Lipoxygenase,,
ALOX15,Arachidonate 15-Lipoxygenase,Ferroptosis driver; PUFA oxygenation,Ferroptosis,Driver,,
ALOX15B,Arachidonate 15-Lipoxygenase Type B,Ferroptosis driver; lipid peroxidation,Ferroptosis,Driver,,
ALOX5,Arachidonate 5-Lipoxygenase,Ferroptosis driver; catalyzes lipid peroxidation,Ferroptosis,Driver,,
ALOXE3,Arachidonate Lipoxygenase 3,Epidermal-type lipoxygenase; lipid peroxidation,Lipid_Peroxidation,Lipoxygenase,,
B2M,Beta-2-Microglobulin,Component of HFE complex; needed for HFE cell surface expression,Iron_Metabolism,Iron_Regulation,,
BLVRA,Biliverdin Reductase A,Converts biliverdin to bilirubin; antioxidant,Iron_Metabolism,Heme_Metabolism,,
BLVRB,Biliverdin Reductase B,Biliverdin reductase; flavin reductase activity,Iron_Metabolism,Heme_Metabolism,,
BMP6,Bone Morphogenetic Protein 6,Key endogenous hepcidin regulator; iron sensing,Iron_Metabolism,Iron_Regulation,,
CARS1,Cysteinyl-tRNA Synthetase 1,Ferroptosis driver; transsulfuration pathway,Ferroptosis,Driver,,
CAT,Catalase,H2O2 detoxification; antioxidant enzyme,NRF2_Pathway,Target,,
CCL2,C-C Motif Chemokine Ligand 2 (MCP-1),SASP chemokine; monocyte recruitment; vascular disease,Senescence,SASP,,
CDKN1A,Cyclin Dependent Kinase Inhibitor 1A (p21),Classical senescence marker; CDK inhibitor; mediates cell cycle arrest,Senescence,Cell_Cycle_Arrest,,
CDKN2A,Cyclin Dependent Kinase Inhibitor 2A (p16/INK4a),Classical senescence marker; CDK4/6 inhibitor; aging biomarker,Senescence,Cell_Cycle_Arrest,,
CDKN2B,Cyclin Dependent Kinase Inhibitor 2B (p15),CDK inhibitor; TGF-beta induced cell cycle arrest,Senescence,Cell_Cycle_Arrest,,
CHAC1,ChaC Glutathione Specific Gamma-Glutamylcyclotransferase 1,Ferroptosis marker; degrades glutathione; ER stress-induced,Ferroptosis,Marker,,
CISD1,CDGSH Iron Sulfur Domain 1 (MitoNEET),Mitochondrial iron-sulfur protein; inhibits mitochondrial lipid peroxidation,Ferroptosis,Suppressor,,
CISD2,CDGSH Iron Sulfur Domain 2 (NAF-1),Iron-sulfur protein; ferroptosis suppressor,Ferroptosis,Suppressor,,
CNN1,Calponin 1,VSMC differentiation marker; downregulated in aneurysm,Vascular_Relevant,VSMC,,
COL1A1,Collagen Type I Alpha 1 Chain,ECM structural protein; degraded in aneurysm by SASP MMPs,Vascular_Relevant,ECM,,
COL3A1,Collagen Type III Alpha 1 Chain,Vascular ECM; aneurysm-related mutations,Vascular_Relevant,ECM,,
CP,Ceruloplasmin,Ferroxidase; oxidizes Fe2+ to Fe3+ for transferrin loading,Iron_Metabolism,Iron_Regulation,,
CRP,C-Reactive Protein,Systemic inflammation marker; elevated in aneurysm,Vascular_Relevant,Inflammation,,
CSF2,Colony Stimulating Factor 2 (GM-CSF),SASP factor; myeloid cell differentiation and activation,Senescence,SASP,,
CXCL1,C-X-C Motif Chemokine Ligand 1 (GRO-alpha),SASP chemokine; neutrophil chemoattractant,Senescence,SASP,,
CXCL2,C-X-C Motif Chemokine Ligand 2 (GRO-beta),SASP chemokine,Senescence,SASP,,
CXCL8,C-X-C Motif Chemokine Ligand 8 (IL-8),SASP chemokine; neutrophil recruitment; angiogenesis,Senescence,SASP,,
CYBB,Cytochrome B-245 Beta Chain (NOX2),Ferroptosis driver; phagocyte ROS production,Ferroptosis,Driver,,
DHODH,Dihydroorotate Dehydrogenase (Quinone),Mitochondrial ferroptosis suppressor; CoQ10 regeneration in mitochondria,Ferroptosis,Suppressor,,
E2F1,E2F Transcription Factor 1,Cell cycle transcription factor; suppressed by RB in senescence,Senescence,Cell_Cycle,,
EDN1,Endothelin 1,Vasoconstriction; endothelial dysfunction marker; iron-induced,Vascular_Relevant,Endothelial,,
ELN,Elastin,Elastic fiber; degraded in aneurysm; target of MMP12 from senescent cells,Vascular_Relevant,ECM,,
FBN1,Fibrillin 1,Microfibril component; Marfan/aneurysm gene; TGF-beta regulation,Vascular_Relevant,ECM,,
FBXL5,F-Box And Leucine Rich Repeat Protein 5,Iron-sensing E3 ubiquitin ligase; degrades IRP2 in iron-replete conditions,Iron_Metabolism,Iron_Sensing,,
FECH,Ferrochelatase,Final step of heme biosynthesis; inserts Fe2+ into protoporphyrin IX,Iron_Metabolism,Heme_Biosynthesis,,
FOXO3,Forkhead Box O3,Longevity-associated transcription factor; antioxidant defense,Senescence,Anti_Senescence,,
FTH1,Ferritin Heavy Chain 1,Iron storage; ferroxidase activity; oxidizes Fe2+ to Fe3+ for storage,Iron_Metabolism,Iron_Storage,,
FTL,Ferritin Light Chain,Iron storage; forms ferritin complex with FTH1,Iron_Metabolism,Iron_Storage,,
FXN,Frataxin,Iron chaperone for Fe-S cluster biogenesis; mitochondrial iron homeostasis,Iron_Metabolism,FeS_Cluster,,
GCH1,GTP Cyclohydrolase 1,Ferroptosis suppressor; BH4 biosynthesis; lipid radical trapping,Ferroptosis,Suppressor,,
GCLC,Glutamate-Cysteine Ligase Catalytic Subunit,Rate-limiting enzyme for GSH synthesis; Nrf2 target,NRF2_Pathway,Target,,
GCLM,Glutamate-Cysteine Ligase Modifier Subunit,GSH synthesis; Nrf2 target,NRF2_Pathway,Target,,
GLB1,Galactosidase Beta 1,SA-beta-galactosidase; classical senescence marker enzyme,Senescence,Marker,,
GLRX5,Glutaredoxin 5,Fe-S cluster assembly; mitochondrial iron-sulfur protein maturation,Iron_Metabolism,FeS_Cluster,,
GPX4,Glutathione Peroxidase 4,Master ferroptosis suppressor; reduces lipid hydroperoxides,Ferroptosis,Suppressor,,
GSR,Glutathione-Disulfide Reductase,Recycles oxidized glutathione; Nrf2 target,NRF2_Pathway,Target,,
GSTM1,Glutathione S-Transferase Mu 1,Detoxification; Nrf2 target,NRF2_Pathway,Target,,
GSTP1,Glutathione S-Transferase Pi 1,Detoxification; Nrf2 target; conjugates GSH to electrophiles,NRF2_Pathway,Target,,
H2AX,H2A.X Variant Histone (H2AFX),DNA damage marker (gamma-H2AX); persistent foci in senescence,Senescence,DNA_Damage,,
HAMP,Hepcidin Antimicrobial Peptide,Master iron regulator; binds ferroportin and triggers its degradation,Iron_Metabolism,Iron_Regulation,,
HFE,Homeostatic Iron Regulator,HFE protein; regulates hepcidin via BMP/SMAD pathway,Iron_Metabolism,Iron_Regulation,,
HJV,Hemojuvelin BMP Co-receptor (HFE2),BMP co-receptor; activates hepcidin transcription,Iron_Metabolism,Iron_Regulation,,
HMGA1,High Mobility Group AT-Hook 1,Senescence-associated chromatin remodeling protein,Senescence,Chromatin,,
